Año Expediente,Nº Expediente,Fecha apertura,Barrio,origen,Solicita resp.,tema ,subtema,Urgencia
2014,3301,6/18/2014,CASCO ANTIGUO,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,3308,6/18/2014,BUZTINTXURI,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,3325,6/18/2014,ENSANCHE,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,3377,6/20/2014,ROCHAPEA,10,NO,Mantenimiento del espacio público,Aceras,SI
2014,3382,6/20/2014,ERMITAGAÑA-MENDEBALDEA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,3413,6/20/2014,SAN JUAN,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,3458,6/24/2014,ENSANCHE,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,3501,6/25/2014,ITURRAMA,10,NO,Mantenimiento del espacio público,Aceras,SI
2014,3531,6/25/2014,ROCHAPEA,10,SI,Mantenimiento del espacio público,Aceras,SI
2014,3534,6/26/2014,ERMITAGAÑA-MENDEBALDEA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,3537,6/26/2014,ERMITAGAÑA-MENDEBALDEA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,3548,6/26/2014,SAN JUAN,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,3660,6/30/2014,MENDILLORRI,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,3663,6/30/2014,CASCO ANTIGUO,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,3684,7/1/2014,ENSANCHE,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,3685,7/1/2014,SAN JUAN,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,3703,7/1/2014,,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,3712,7/2/2014,MENDILLORRI,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,3720,7/2/2014,ERMITAGAÑA-MENDEBALDEA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,3755,7/3/2014,ENSANCHE,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,3761,7/4/2014,CHANTREA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,3770,7/4/2014,ERMITAGAÑA-MENDEBALDEA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,3788,7/4/2014,ROCHAPEA,10,NO,Mantenimiento del espacio público,Aceras,SI
2014,3842,7/9/2014,ITURRAMA,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,3962,7/15/2014,CASCO ANTIGUO,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,3999,7/16/2014,CASCO ANTIGUO,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,4055,7/17/2014,CASCO ANTIGUO,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,4079,7/18/2014,ERMITAGAÑA-MENDEBALDEA,WEB,NO,Mantenimiento del espacio público,Aceras,
2014,4080,7/18/2014,ERMITAGAÑA-MENDEBALDEA,WEB,,Mantenimiento del espacio público,Aceras,
2014,4081,7/18/2014,ABEJERAS-AZPILAGAÑA,WEB,,Mantenimiento del espacio público,Aceras,
2014,4095,7/18/2014,ENSANCHE,10,NO,Mantenimiento del espacio público,Aceras,SI
2014,4113,7/21/2014,MILAGROSA,WEB,NO,Mantenimiento del espacio público,Aceras,
2014,4239,7/23/2014,SAN JORGE,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,4329,7/28/2014,CASCO ANTIGUO,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,4333,7/28/2014,ITURRAMA,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,4353,7/28/2014,ITURRAMA,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,4354,7/28/2014,MILAGROSA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,4371,7/29/2014,ERMITAGAÑA-MENDEBALDEA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,4376,7/29/2014,SAN JUAN,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,4427,7/31/2014,ROCHAPEA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,4486,8/1/2014,ERMITAGAÑA-MENDEBALDEA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,4498,8/3/2014,SAN JUAN,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,4499,8/4/2014,CASCO ANTIGUO,WEB,,Mantenimiento del espacio público,Aceras,
2014,4547,8/5/2014,CHANTREA,10,NO,Mantenimiento del espacio público,Aceras,SI
2014,4568,8/6/2014,ERMITAGAÑA-MENDEBALDEA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,4581,8/6/2014,CASCO ANTIGUO,10,NO,Mantenimiento del espacio público,Aceras,SI
2014,4613,8/7/2014,ERMITAGAÑA-MENDEBALDEA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,4625,8/8/2014,CASCO ANTIGUO,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,4691,8/9/2014,MILAGROSA,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,4693,8/9/2014,ENSANCHE,WEB,NO,Mantenimiento del espacio público,Aceras,
2014,4724,8/11/2014,CHANTREA,10,NO,Mantenimiento del espacio público,Aceras,SI
2014,4742,8/12/2014,MILAGROSA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,4776,8/13/2014,MENDILLORRI,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,4783,8/13/2014,MILAGROSA,WEB,,Mantenimiento del espacio público,Aceras,
2014,4787,8/14/2014,SAN JORGE,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,4797,8/14/2014,SAN JUAN,10,SI,Mantenimiento del espacio público,Aceras,SI
2014,4800,8/14/2014,SAN JUAN,10,NO,Mantenimiento del espacio público,Aceras,SI
2014,4816,8/16/2014,MILAGROSA,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,4843,8/18/2014,ITURRAMA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,4853,8/19/2014,ITURRAMA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,4854,8/19/2014,ENSANCHE,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,4858,8/19/2014,MENDILLORRI,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,4862,8/19/2014,BUZTINTXURI,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,4914,8/20/2014,ENSANCHE,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,4954,8/21/2014,CASCO ANTIGUO,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,4971,8/22/2014,CASCO ANTIGUO,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,4972,8/22/2014,ENSANCHE,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,4978,8/22/2014,MILAGROSA,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,4989,8/24/2014,ENSANCHE,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,4993,8/25/2014,ENSANCHE,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,5064,8/27/2014,SAN JUAN,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,5092,8/28/2014,ENSANCHE,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,5104,8/28/2014,MILAGROSA,WEB,,Mantenimiento del espacio público,Aceras,
2014,5111,8/29/2014,MILAGROSA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,5112,8/29/2014,ITURRAMA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,5113,8/29/2014,CHANTREA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,5114,8/29/2014,,10,NO,Mantenimiento del espacio público,Aceras,SI
2014,5125,8/29/2014,ITURRAMA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,5130,8/29/2014,CHANTREA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,5135,8/29/2014,SAN JUAN,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,5166,9/1/2014,MILAGROSA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,5179,9/2/2014,ITURRAMA,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,5263,9/3/2014,ENSANCHE,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,5271,9/4/2014,MILAGROSA,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,5393,9/9/2014,ITURRAMA,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,5427,9/9/2014,CHANTREA,10,NO,Mantenimiento del espacio público,Aceras,SI
2014,5448,9/10/2014,SAN JUAN,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,5453,9/10/2014,ROCHAPEA,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,5456,9/10/2014,ROCHAPEA,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,5462,9/10/2014,ITURRAMA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,5472,9/10/2014,ENSANCHE,10,SI,Mantenimiento del espacio público,Aceras,SI
2014,5568,9/12/2014,CASCO ANTIGUO,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,5570,9/12/2014,ENSANCHE,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,5573,9/12/2014,MILAGROSA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,5600,9/14/2014,ENSANCHE,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,5610,9/15/2014,ENSANCHE,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,5632,9/15/2014,ENSANCHE,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,5663,9/16/2014,ENSANCHE,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,5676,9/16/2014,MILAGROSA,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,5683,9/16/2014,ENSANCHE,10,NO,Mantenimiento del espacio público,Aceras,SI
2014,5762,9/18/2014,SAN JORGE,WEB,,Mantenimiento del espacio público,Aceras,
2014,5776,9/18/2014,SAN JUAN,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,5798,9/19/2014,ABEJERAS-AZPILAGAÑA,10,NO,Mantenimiento del espacio público,Aceras,SI
2014,5849,9/22/2014,ROCHAPEA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,5857,9/23/2014,ENSANCHE,10,SI,Mantenimiento del espacio público,Aceras,SI
